Table,Field,Description
orders,order_id,Unique identifier for each order (PK)
orders,created_at,Timestamp when the order was placed
orders,website_session_id,Unique identifier for the website session (FK)
orders,user_id,Unique identifier for the user (FK)
orders,primary_product_id,Unique identifier for the primary product in the order if part of a bundle (FK)
orders,items_purchased,Number of items in the order
orders,price_usd,Total price for the items in the order
orders,cogs_usd,Cost of goods sold for the items in the order
order_items,order_item_id,Unique identifier for each order item (PK)
order_items,created_at,Timestamp when the order was placed
order_items,order_id,Unique identifier for the order the item belongs to (FK)
order_items,product_id,Unique identifier for the product (FK)
order_items,is_primary_item,Binary flag with a value of 1 if it's the primary item in the order
order_items,price_usd,Price of the product
order_items,cogs_usd,Cost of goods sold of the product
order_item_refunds,order_item_refund_id,Unique identifier for each refund (PK)
order_item_refunds,created_at,Timestamp when the refund was issued
order_item_refunds,order_item_id,Unique identifier for the order item that was refunded (FK)
order_item_refunds,order_id,Unique identifier for the order the refunded item belonged to (FK)
order_item_refunds,refund_amount_usd,Refund amount
products,product_id,Unique identifier for the product (PK)
products,created_at,Timestamp for when the product was launched
products,product_name,Name of the product
website_sessions,website_session_id,Unique identifier for the website session (PK)
website_sessions,created_at,Timestamp when the session started
website_sessions,user_id,Unique identifier for the user (FK)
website_sessions,is_repeat_session,Binary flag with a value of 1 if the user has had a previous ression
website_sessions,utm_source,UTM source parameter (traffic origin)
website_sessions,utm_campaign,UTM campaign parameter (marketing campaign name)
website_sessions,utm_content,UTM content parameter (ad/content variant)
website_sessions,device_type,Device category (mobile or desktop)
website_sessions,http_referer,URL for the UTM source
website_pageviews,website_pageview_id,Unique identifier for each website pageview (PK)
website_pageviews,created_at,Timestamp for the pageview
website_pageviews,website_session_id,Unique identifier for the website session the pageview belongs to (FK)
website_pageviews,pageview_url,URL path for the pageview
